uuid,primary_tag,secondary_tag,coherence_score
f7c1309120bf4762b0ceb29e842ebe51,적극적 소비,사회적 소비,1
fc96d55750ff46d59259974507062620,사회적 소비,적극적 소비,0
1c0f3c5d507c43d4b8cd9db6658b5790,적극적 소비,사회적 소비,1
13557e179d0944abb1691c1db23e0713,소극적 실속,사회적 소비,2
999d45b7626a418b8c0cd023839e32cb,자기 중심적,소극적 실속,1
f4342aa625ef4c4d974ac696bb1feecf,소극적 실속,자기 중심적,2
8aaf90283b4f424f97e1f0830445fc48,사회적 소비,적극적 소비,0
541946b2aa5e4072a72cd8f904214271,적극적 소비,사회적 소비,1
edff69bc56814e088b5eda29f846a76c,자기 중심적,소극적 실속,2
986b6f6c212146a086ec8558a42720d3,적극적 소비,사회적 소비,0
f22d6cbd5bdb444bbc19a675e9753b9d,소극적 실속,사회적 소비,2
3e4cd6fc044541b2ac716f705a4d4b8b,사회적 소비,,2
e425febb58454b33bb42a19a3a8e3bac,적극적 소비,사회적 소비,1
21e7a1c0a3814fb598515e3ec1184067,소극적 실속,자기 중심적,0
4271e4cd1bd3405f865e6d9a5e474623,적극적 소비,소극적 실속,1
d8ef4a4fce07442297e81d1a494c46e9,사회적 소비,소극적 실속,0
a520050bf2084a52addc2fd73fa2c8b3,소극적 실속,사회적 소비,2
e531430057eb4e9385c003cf8b984f5c,사회적 소비,적극적 소비,0
5c9859c0e3e64c1baca2d4c941e1eb59,적극적 소비,소극적 실속,1
ef2393b31a464002aaa9c2a9563b0cf9,소극적 실속,사회적 소비,2
54ca6026756148439f6dac6c155a8881,적극적 소비,,1
439cd50e669440fb9f373a0cdc10761d,사회적 소비,소극적 실속,0
bf76694f66fd49fd9f1fdcaf3a1f6679,윤리적 소비,사회적 소비,0
13c2f12457f4476298ed0c3d20525ebf,소극적 실속,사회적 소비,2
3bfed8aee48a426b933c4015fc26c351,소극적 실속,사회적 소비,2
f335ba4b52ed45839c93c3986b2e8b00,윤리적 소비,,2
81c17366b3ae40a290680f56319c294c,적극적 소비,사회적 소비,1
12cf558694394e7b991d05618e9e9c8f,소극적 실속,사회적 소비,2
8cefddb403f54157b279633a41b6b2f1,적극적 소비,사회적 소비,0
8aee6e19ba2c4a8ab1e7be9888a10d41,소극적 실속,사회적 소비,2
028b5ff9fb91402eb2fb780357163145,적극적 소비,소극적 실속,1
3fe1d10ec38e41f3821eee072bd2d6c9,적극적 소비,사회적 소비,0
7afa28366def4871a20f994d909a941b,적극적 소비,사회적 소비,1
ff5344b86c4c4aa59333b51275c35167,사회적 소비,소극적 실속,0
8288835a535b44598ab8459ec4e1ddb0,소극적 실속,사회적 소비,2
0fb8b4eb9ff048639f13457a23f4d075,윤리적 소비,,0
93a870a84a0948829218a2b4f16a49ca,소극적 실속,자기 중심적,2
62b4d92ae92d4f739a7c45bc425d7768,적극적 소비,사회적 소비,1
7958ebef1ad44ff2a7342f9c328289a4,적극적 소비,사회적 소비,1
e03c5d8bf7014159966cb915a6bd534b,소극적 실속,사회적 소비,2
ed8dd33319d3432780f2f71e44d21a4a,사회적 소비,소극적 실속,0
47f8bca3741d4b5883abdc3059b153b6,사회적 소비,적극적 소비,0
ffa51721a0b14d52a6ad36646c08e5df,적극적 소비,사회적 소비,1
8410aadbe527494199a2a8860a90ad80,소극적 실속,사회적 소비,2
b261d8bcdb024a049f3ec591d22fc2c1,소극적 실속,자기 중심적,2
bd8e44b4bed14c00976afaab0283d841,소극적 실속,자기 중심적,2
dbf8919c651d498da8370adfe1e49cd1,소극적 실속,사회적 소비,2
beb49d86d2c5434f8b5860b0d4056ed8,사회적 소비,소극적 실속,0
06e0afdf97994dd8ba49c6595b574a74,자기 중심적,소극적 실속,2
17759b2bd893443c910cb991271fdc49,적극적 소비,사회적 소비,1
c7bb63b908b640a698598f7227ed5b08,적극적 소비,자기 중심적,0
97e5633f38b8403e875d62fc35c70f24,적극적 소비,사회적 소비,0
7003b96e33c54f04a20ef86949225841,자기 중심적,소극적 실속,1
0cb226df13ec413f9a3079158761c59b,사회적 소비,소극적 실속,0
c992a4302f9e439a860d033773d52b19,자기 중심적,소극적 실속,2
41f4e452bf8440079ea113d1a92f5606,윤리적 소비,사회적 소비,2
aec4561e59244ea68bad400e7d616244,윤리적 소비,사회적 소비,2
b7418e0bbc93459f964263eb0a70e8aa,적극적 소비,사회적 소비,1
61cf3a92104840d7a95ab00f1df59633,소극적 실속,자기 중심적,2
d1c9448f96494aa2a2af6f071a2c6cef,윤리적 소비,,0
337bc283839d4503a632d459d7883896,적극적 소비,소극적 실속,0
c48d81eda6204d6bbf9482f9d566d35a,적극적 소비,사회적 소비,0
2a757e8ad99a4d3693e620aa77ed1faa,소극적 실속,사회적 소비,2
5f8cbf7c5e7742e3aceafc1d45846604,적극적 소비,사회적 소비,1
c65dbe4dca5b4d6e9b39b5ea54ca1c46,소극적 실속,사회적 소비,2
c9233c7ec15f4319a4893addcf30bcea,윤리적 소비,사회적 소비,2
81ccd170d48e4c5e958f0e460b7e101b,소극적 실속,사회적 소비,2
60cf5b38d7ff4102b43347c5b90bfd6d,적극적 소비,사회적 소비,0
ef5ff2b59605442b982f6b461b3f44b3,적극적 소비,,2
9823e83bdba84548a64341a20698e638,적극적 소비,자기 중심적,1
076150013721418db6b2aee71af7cbdb,적극적 소비,소극적 실속,1
6e45ee86e6454cac89a0c3ea8bb47206,소극적 실속,사회적 소비,2
fbe24bbc48544e5ca69f327b6a2ff6dc,소극적 실속,사회적 소비,2
20076ee6592c4cfcb20813ab8e36c55b,적극적 소비,사회적 소비,0
8e41aa5153be479ab8db8cef313ae853,소극적 실속,사회적 소비,2
1a424b50265b4fc9b50e5b58ef4a981c,소극적 실속,사회적 소비,2
506b448363524ce6b076b82e8dbe2183,사회적 소비,적극적 소비,0
955995204edd4dc88250fff7108341ed,소극적 실속,사회적 소비,2
702f8d7f7b254c4189ada91ea102a9ee,소극적 실속,자기 중심적,2
0e9e4e7a5f5745ae9204f63307524687,자기 중심적,적극적 소비,2
837fcaf86cf14c22a40232d9fe857257,소극적 실속,사회적 소비,2
f4718f3b3efa4f40950e7840e866efc0,적극적 소비,자기 중심적,0
e10a7f95dd1f4a90b82b47f2a17a2207,사회적 소비,적극적 소비,0
1ab5e4c150eb40baa8628f2c555eca10,적극적 소비,소극적 실속,1
212a4d8bea674070aa0e39b6a2089acb,사회적 소비,적극적 소비,0
17eca9094d274e678451641534e5e7f4,소극적 실속,자기 중심적,2
80afd096fefb41408846729c5ede42d7,사회적 소비,소극적 실속,0
93bf1128011b4b2f9c6b185ba4e69bf1,자기 중심적,소극적 실속,2
5a9d770c6c88484c81597ecf5e9bfd31,소극적 실속,자기 중심적,2
491971bbc5d4493594c151b48792cd81,적극적 소비,사회적 소비,1
82e97008dadd405f8703221256470761,소극적 실속,자기 중심적,2
e0f83737e70a493fbc148d5de78d06df,소극적 실속,사회적 소비,1
ffe2970cb5874968b9be3590a1b97c5c,적극적 소비,사회적 소비,1
380e6697f0864092a30ba7c72a8542f8,사회적 소비,소극적 실속,0
3db7cd31e5754d7eafa16a96b43372df,윤리적 소비,,0
d39571ff9cb5447e8d3c13d6c8a6af71,적극적 소비,사회적 소비,0
e20d6bb7ac90404aa72a82798d8db017,소극적 실속,사회적 소비,2
f791cfc31b24452eab2a25daec1682fa,소극적 실속,사회적 소비,2
468b89ca2b3b44e9aebd245739b04d68,윤리적 소비,,2
7241909ab6094e819380ce2096a55477,자기 중심적,소극적 실속,1
42171120c2754e37a9f3ee3787996def,소극적 실속,사회적 소비,2
f6ffe452563948b9a4eaed34a02f8d91,사회적 소비,적극적 소비,0
679bd93d9ccd4207ab056d43323a0254,적극적 소비,사회적 소비,0
1546121049774107b814093d2b94f496,소극적 실속,적극적 소비,2
35450c9e5b594a8c8c28460b676853cd,적극적 소비,소극적 실속,1
a1504bc0d29c448bbcb1513edf9322a6,윤리적 소비,사회적 소비,2
dfb426cdef324608b35559cb4aa14742,자기 중심적,소극적 실속,1
8b58f2549b20470c9527ce321fe8ed26,적극적 소비,사회적 소비,0
1775cb73d2394a90a7ebf2b1910ceb8c,사회적 소비,적극적 소비,0
a90f6a90440142338698fed5e8a76be5,소극적 실속,사회적 소비,2
9ad0623187bf4316bdda6b3468d990b1,적극적 소비,사회적 소비,1
418977d24170489f89683894b3211262,소극적 실속,자기 중심적,0
5d4750c39b8e47699a4e29ac59b1e713,소극적 실속,자기 중심적,2
1b95b5aa33a54fe697204b6ef1d8c9bf,소극적 실속,사회적 소비,2
b61d1a38cbac4247b3ab67467eb8dc27,자기 중심적,소극적 실속,2
b9e5f1fbd6a64cd49d56b80f04d42912,적극적 소비,사회적 소비,1
b5549b289a3a4703b8da7aeb522d3f8e,적극적 소비,사회적 소비,0
813953ae3cbb408eb7f7acb3f169a71b,적극적 소비,소극적 실속,0
25bbf9ae6f434c888ce4b1d060bdd5c7,사회적 소비,소극적 실속,2
e7089effa5114a3a924683763b149e55,소극적 실속,적극적 소비,2
e0669539c3ec4b52b04f602d706703b9,소극적 실속,자기 중심적,2
4b068173a52b4158a342b7a8f08ce40d,자기 중심적,소극적 실속,2
6ac2801244e64c91b8c80a7f1f881e73,자기 중심적,소극적 실속,2
8010eeb5d96d44fc82e962c1a04df726,적극적 소비,사회적 소비,1
9c45275773344c6dbb0c6e2081329a33,사회적 소비,소극적 실속,0
a1d8de40b0a84afaac384dc9db3e6310,사회적 소비,적극적 소비,0
e79bf37c1d544cffac5e7ae55e333788,소극적 실속,사회적 소비,2
ceab9b15807443de968523dab9afb725,적극적 소비,소극적 실속,1
ebe1a6b13b364762a02ac88aaa1e39ac,자기 중심적,,1
4bc93e8017c04bee8344a59454c96950,소극적 실속,자기 중심적,2
847f5ded0d484861bb3f5d8dc9d38fe4,윤리적 소비,,2
a818049d9b6b423fa6a0b75723cea390,사회적 소비,적극적 소비,0
a39b4055bb654066838d3c0d5dc9194f,사회적 소비,적극적 소비,0
095fbeb51b6a4d2e9e8ee956c87dbd74,적극적 소비,소극적 실속,1
ff6e3a91052148e3bfba69f61d7ed55b,적극적 소비,사회적 소비,1
1a6699887c824f67bba589918f0c0ba0,윤리적 소비,사회적 소비,2
80b2479fbc07422087b1737eeb449b3d,소극적 실속,적극적 소비,0
756225599d564fb9935e75aea5bb8d0c,적극적 소비,사회적 소비,1
f642a43a9f764d0cae7efa068d5fa2ff,적극적 소비,사회적 소비,1
3010c82abd624a32933c2870b311d314,소극적 실속,사회적 소비,2
c044e1f2e7b047f1bbecc0a3f6c9440e,소극적 실속,적극적 소비,2
48b72d613efd4a5db15371e1520cb206,적극적 소비,사회적 소비,1
37133efb82a04534807f06a38dab3ded,사회적 소비,소극적 실속,0
299e7d0c1f204275a8f1883d3cd57643,소극적 실속,사회적 소비,2
a53ba78a7ce94e33bcf95c8962a94f0f,소극적 실속,사회적 소비,2
18282b19356947e29005318d16506925,소극적 실속,자기 중심적,2
388c88c55c894fee985e1310b51611c8,적극적 소비,사회적 소비,1
7d5367acf3a540c1896b1bc73a93598b,사회적 소비,적극적 소비,0
f4108e8885f34962b733e6a2230c4e7c,윤리적 소비,,0
60453eadce564c2093084528286b3cca,소극적 실속,사회적 소비,2
52eb19a50b174261afcc1658d275fefd,적극적 소비,사회적 소비,0
6cc9f84c39664b2d9d18969c948d4495,사회적 소비,소극적 실속,0
24ef833f365741349230522f386374ea,적극적 소비,사회적 소비,1
3a0644665ffc4c9abab51606cdb619d0,소극적 실속,자기 중심적,2
9a1fc9a94bad4b7eaba0930e9f515294,사회적 소비,소극적 실속,0
9b67888f810b4fa29230e3a36d82f503,소극적 실속,사회적 소비,1
344720a57d2f451198fd6cf68379f7ca,적극적 소비,사회적 소비,0
c88bac735ec54d948d94d400677ceb14,적극적 소비,사회적 소비,1
2a9b5d1e92d345cf81d19e41c483f54b,사회적 소비,소극적 실속,0
ff36ad555fe44d10a8dfced0dd0d9095,적극적 소비,사회적 소비,1
ae134d77102d41a0ad4243e2f7e8b8db,적극적 소비,사회적 소비,0
4e5591abdc1e42cdb5bb0484bcafe7e0,소극적 실속,적극적 소비,2
74d63ced3bf0479bbdf4574fbf594be2,사회적 소비,,0
b99508869c6b4482bd46c85121a2cd8f,적극적 소비,소극적 실속,1
0c73295b93d546f38cc43acec67b8a31,적극적 소비,소극적 실속,0
5435ab1ff3ed45e6a6b6492c780ab5b3,소극적 실속,사회적 소비,2
185eb5281ed74702a4705b213cb3ea95,소극적 실속,사회적 소비,2
73769a87e2214746ac117bf5687af892,적극적 소비,사회적 소비,1
d2ac7cf8a50f49efbb16c233f98b6fcd,윤리적 소비,사회적 소비,2
0bb81e975a234960b4481c7b4bd97cbf,적극적 소비,사회적 소비,0
257c1c80d5ce4d428ed0d9cb2b6975bb,자기 중심적,소극적 실속,1
1e3b606f60f34e13b1c990032daeb2c9,사회적 소비,소극적 실속,2
1c3f664bf6154bb98180802235ace4d7,소극적 실속,사회적 소비,2
0c1b2b58d8da4bb4b8fd0a65a4eaedde,사회적 소비,소극적 실속,0
3ba4f0d7b088492a86bc10b72596bb2b,적극적 소비,사회적 소비,1
1bcb057b81e649479fac61b1e1c87307,소극적 실속,사회적 소비,2
300f99e579ed45c3a4da959eae99bf09,적극적 소비,사회적 소비,1
8aaae6c7e88f4528a59e2cba1851bf54,사회적 소비,적극적 소비,0
c2d6529352cd46a886a365f2bc315fd1,소극적 실속,자기 중심적,2
